"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Duke",38,32,53.6,17.5,19.4,35.6,29.5,33.2,58,30.8,2019,"FINALISTA"
"North Carolina",36,29,52.9,17.2,18.3,35.3,22.8,30.2,52.1,36.2,2019,"FINALISTA"
"Michigan",37,30,51.6,13.9,18,24.7,24.8,27.5,51.8,34.2,2019,"FINALISTA"
"Michigan St.",39,32,55.2,18.5,14.9,33.9,26.4,33.6,54.3,37.8,2019,"FINALISTA"
"Kentucky",37,30,53,18.6,17.9,36.8,25.5,41.9,52.9,35.4,2019,"FINALISTA"
"Tennessee",36,31,55.3,15.8,18,31.6,30.2,33.3,55.4,36.7,2019,"FINALISTA"
"Texas Tech",38,31,53.5,17.7,22.8,27.4,28.7,32.9,52.8,36.5,2019,"FINALISTA"
"Purdue",36,26,53.6,15.8,18.6,34.5,27,29.9,51.5,37.4,2019,"FINALISTA"
"Houston",37,33,52.1,16.5,18.2,34.4,26,31.6,51.3,35.5,2019,"FINALISTA"
"LSU",35,28,51.2,17.9,20.1,36.7,30.8,37.1,52.9,31.9,2019,"FINALISTA"
"Virginia Tech",35,26,55.6,17.3,21.6,29.6,27.2,31.9,52.9,39.4,2019,"FINALISTA"
"Kansas St.",34,25,49.4,17.4,22.8,28.3,25.7,30.6,48.9,33.4,2019,"FINALISTA"
"Florida St.",37,29,50.5,18.9,20.3,32.8,27,35.8,50.9,33.2,2019,"FINALISTA"
"Kansas",36,26,52.6,18.8,18.2,30.1,27.9,32.5,52.6,35,2019,"FINALISTA"
"Auburn",39,30,54.4,16.8,24.6,31.6,32.8,30.9,51.7,38.1,2019,"FINALISTA"
"Wisconsin",34,23,51.1,14.6,17.2,24.5,26.5,27.3,49.7,35.9,2019,"FINALISTA"
"Mississippi St.",34,23,54.6,19.2,19.5,34.7,29.6,32.7,53.4,37.7,2019,"FINALISTA"
"Marquette",34,24,53.5,19.4,16.6,29.4,26.1,35.1,50,38.8,2019,"FINALISTA"
"Iowa St.",35,23,54.7,16.3,18.8,28.3,30.1,30,55,36.2,2019,"FINALISTA"
"Maryland",34,23,51.4,19.4,14.1,34.1,24.8,32.8,50.8,34.9,2019,"FINALISTA"
"Buffalo",35,32,53.4,16,20.3,31.7,26.9,32.7,55.7,33.7,2019,"FINALISTA"
"Villanova",36,26,53.2,16.9,18,30.3,27.7,34.4,53.7,35.2,2019,"FINALISTA"
