"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"Idaho St.",28,11,52,17.6,15,25.8,29.8,28.8,50.4,36.2,2019,"NO FINALISTA"
"Saint Peter's",32,10,48.7,23.3,18.7,29.9,27.8,34.8,48.8,32.5,2019,"NO FINALISTA"
"Southeast Missouri St.",29,10,50.4,20.2,17.4,25.6,28.3,29.1,47.4,36.6,2019,"NO FINALISTA"
"Wagner",28,13,44,20.8,19.8,33.4,28.9,33.8,43.1,30.1,2019,"NO FINALISTA"
"Mount St. Mary's",29,9,47.9,19,17.8,25.1,31.5,33.9,48.7,31.2,2019,"NO FINALISTA"
"Florida A&M",29,12,49.1,24.6,21.7,27.9,32.4,31.1,46.9,36.4,2019,"NO FINALISTA"
"Stephen F. Austin",26,14,48.4,20.5,21.5,29.1,32.9,36.2,47.6,33.3,2019,"NO FINALISTA"
"UC Riverside",30,10,51.2,20.3,16,25.1,26.5,22.7,47.2,38,2019,"NO FINALISTA"
"Portland",30,7,47.3,19.9,16.3,20.3,30.1,39,45.8,32.9,2019,"NO FINALISTA"
"Jackson St.",30,13,44.6,20.4,20.7,28.7,27,34.3,45.9,27.9,2019,"NO FINALISTA"
"Bryant",30,10,49,18.4,18.6,26.6,30.2,36.8,49.2,32.5,2019,"NO FINALISTA"
"Manhattan",32,11,47.4,24.1,23.5,30.6,30.3,33.3,45.6,33.2,2019,"NO FINALISTA"
"Binghamton",31,10,49.5,18.5,16.7,20.9,31.7,24.3,48.4,33.9,2019,"NO FINALISTA"
"SIU Edwardsville",29,10,46.8,18.7,18.9,28.5,28.5,34.6,47.6,30.3,2019,"NO FINALISTA"
"Stetson",29,7,45.5,17.5,18,27.9,32,25,45,31,2019,"NO FINALISTA"
"Central Connecticut",29,11,47,19.8,18.1,29.6,29.9,34.1,45.8,32.8,2019,"NO FINALISTA"
"Tennessee Tech",29,8,46.1,22.8,19.2,27.9,32.9,36.3,43.9,33.6,2019,"NO FINALISTA"
"Arkansas Pine Bluff",31,13,48.4,22.1,19.7,29.1,30.7,42.4,47,34,2019,"NO FINALISTA"
"McNeese St.",27,9,49.8,21.3,17.7,29.7,31.9,38.8,51.3,31,2019,"NO FINALISTA"
"Cal Poly",27,6,47.2,17,15.6,26.1,31.4,25.8,46.6,32,2019,"NO FINALISTA"
"Southern",31,7,48.9,23.2,22.2,30.2,32.9,34.6,48.8,32.6,2019,"NO FINALISTA"
"Maine",31,5,48.6,22.2,19.1,25.9,27.2,25.6,49.9,31,2019,"NO FINALISTA"
"Alabama St.",29,12,46.1,21,21.2,31.6,32.4,37.4,44.7,32.1,2019,"NO FINALISTA"
"Kennesaw St.",30,5,40.9,19,17.1,29.2,30.8,30.1,39.1,31.4,2019,"NO FINALISTA"
"USC Upstate",29,5,47.4,19.9,18.2,24.7,31.3,25.3,46.8,32.1,2019,"NO FINALISTA"
"South Carolina St.",32,8,47.2,20.8,20.4,31.6,30.2,39.7,46.5,32.4,2019,"NO FINALISTA"
"San Jose St.",30,4,46,21.9,15.4,27.4,28.7,34.8,44.1,33,2019,"NO FINALISTA"
"Morgan St.",28,9,43.7,17.9,23.9,31.8,35.2,34.3,41.5,33.1,2019,"NO FINALISTA"
"Incarnate Word",27,6,51.9,24.1,19.7,23.1,32.7,34.8,51.4,35.1,2019,"NO FINALISTA"
"Northwestern St.",28,11,44.7,22.7,19.5,28.9,34.7,33.6,46.2,28,2019,"NO FINALISTA"
"Savannah St.",30,11,48,19.9,19.3,28,34.6,25.2,53.7,29.2,2019,"NO FINALISTA"
"UNC Asheville",28,4,46.2,23.5,18.2,27.7,37.1,26.3,45.2,31.7,2019,"NO FINALISTA"
"Coppin St.",33,8,45.5,23.3,16.7,26,28.9,37.7,47.7,28.6,2019,"NO FINALISTA"
"Idaho",29,5,50.3,20,13.3,24.2,32,28.2,46.5,37.6,2019,"NO FINALISTA"
"Alabama A&M",32,5,45.8,22.3,21,28,32.1,25.1,45,31.6,2019,"NO FINALISTA"
"Mississippi Valley St.",31,6,41.9,18.5,17.5,28.4,31.7,33.7,40.1,31,2019,"NO FINALISTA"
"Alcorn St.",27,10,45.7,24.1,18.2,30.1,31.5,30.5,45,31.3,2019,"NO FINALISTA"
"New Hampshire",27,5,44,18.4,16.9,21.5,24.7,21.9,39.4,32.6,2019,"NO FINALISTA"
"Chicago St.",30,3,44.2,22.5,16.7,22.1,33.9,33.1,43.5,30.7,2019,"NO FINALISTA"
"Delaware St.",29,6,40,19,18.9,27.8,31.6,25.5,37.7,29,2019,"NO FINALISTA"
"Maryland Eastern Shore",30,7,43.5,20.7,19,22.8,31.7,28.3,44.5,27.9,2019,"NO FINALISTA"
